Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,308458509,3957.366243460874,16907207,216.91089174332157,1738701,5492595,70.46720841797877,45035,0.5777762116274143,5150,
United States of America,Americas,59848136,18080.863,4697353,1419.129,354163,831548,251.221,11862,3.584,393
India,South-East Asia,35875790,2599.687,915529,66.342,168063,484213,35.088,2196,0.159,277
Brazil,Americas,22523907,10596.523,230679,108.524,24382,619981,291.674,848,0.399,44
The United Kingdom,Europe,14617318,21532.153,1195432,1760.94,142122,150230,221.297,1329,1.958,76
France,Europe,11907500,18308.145,1854631,2851.552,88607,123104,189.276,1486,2.285,279
Russian Federation,Europe,10684204,7321.234,113992,78.112,17525,317687,217.692,5500,3.769,783
Turkey,Europe,10042797,11907.645,446018,528.839,65236,83843,99.412,1048,1.243,141
Germany,Europe,7581381,9115.884,342973,412.392,45690,114351,137.496,1772,2.131,322
Italy,Europe,7554344,12666.257,1158234,1941.994,117405,139265,233.504,1479,2.48,227
Spain,Europe,7457301,15755.101,690129,1458.041,43906,90136,190.431,369,0.78,22
Argentina,Americas,6310844,13963.35,615914,1362.769,73319,117492,259.962,288,0.637,27
Iran (Islamic Republic of),Eastern Mediterranean,6208337,7391.498,9747,11.605,2340,131915,157.055,213,0.254,37
Colombia,Americas,5330662,10476.335,149489,293.79,30630,130338,256.153,312,0.613,50
Indonesia,South-East Asia,4267451,1560.176,3719,1.36,802,144144,52.699,39,0.014,8
Poland,Europe,4232386,11150.141,86868,228.852,11402,100254,264.117,2220,5.849,493
Mexico,Americas,4125388,3199.643,131967,102.353,11599,300334,232.938,755,0.586,31
Ukraine,Europe,3709871,8482.854,31783,72.674,5429,97544,223.041,1108,2.534,219
South Africa,Africa,3528463,5949.319,52951,89.28,2409,92530,156.014,1218,2.054,77
Netherlands,Europe,3371037,19365.334,191062,1097.579,27993,21088,121.143,117,0.672,8
Philippines,Western Pacific,2998530,2736.357,142845,130.356,33169,52293,47.721,707,0.645,143
Malaysia,Western Pacific,2788860,8616.635,21816,67.404,2641,31696,97.93,136,0.42,18
Canada,Americas,2539930,6729.69,272853,722.94,25466,30788,81.575,419,1.11,45
Czechia,Europe,2538298,23735.856,44967,420.491,7381,36683,343.026,280,2.618,59
Peru,Americas,2375813,7205.579,73135,221.81,17128,203067,615.88,285,0.864,48
Belgium,Europe,2286532,19844.165,120947,1049.665,14,28518,247.5,107,0.929,4
Thailand,South-East Asia,2284609,3273.08,49033,70.248,7133,21850,31.304,100,0.143,12
Iraq,Eastern Mediterranean,2098908,5218.244,4559,11.334,1368,24212,60.195,38,0.094,5
Viet Nam,Western Pacific,1914393,1966.736,135417,139.12,14818,34531,35.475,1510,1.551,212
Romania,Europe,1848641,9564.16,35585,184.103,4104,59027,305.383,213,1.102,16
Chile,Americas,1833478,9591.226,22181,116.032,4041,39285,205.506,112,0.586,13
Japan,Western Pacific,1771998,1401.05,36407,28.786,6394,18405,14.552,9,0.007,2
Portugal,Europe,1660058,16123.472,225488,2190.074,20212,19133,185.831,133,1.292,20
Bangladesh,South-East Asia,1595931,969.055,8016,4.867,0,28105,17.065,18,0.011,0
Israel,Europe,1550746,17916.223,142169,1642.52,37887,8271,95.557,11,0.127,2
Switzerland,Europe,1540053,17794.581,134741,1556.868,37,11964,138.238,53,0.612,0
Greece,Europe,1535382,14324.511,240641,2245.086,27766,21479,200.391,489,4.562,85
Sweden,Europe,1416650,13717.142,68700,665.209,0,15377,148.892,5,0.048,0
Serbia,Europe,1359544,19627.572,53923,778.48,8949,12936,186.755,149,2.151,24
Austria,Europe,1347301,15136.404,61966,696.164,10441,13408,150.634,51,0.573,9
Pakistan,Eastern Mediterranean,1305707,591.106,8472,3.835,1649,28972,13.116,29,0.013,3
Hungary,Europe,1300994,13316.859,36285,371.41,3382,40016,409.6,499,5.108,69
Kazakhstan,Europe,1083988,5773.046,10199,54.317,2230,18286,97.387,30,0.16,2
Jordan,Eastern Mediterranean,1082570,10610.171,15317,150.121,2789,12893,126.363,151,1.48,17
Morocco,Eastern Mediterranean,1004706,2722.002,37044,100.362,2622,14915,40.408,53,0.144,4
Ireland,Europe,1002013,20183.807,156116,3144.685,23909,5952,119.893,40,0.806,0
Denmark,Europe,983899,16897.459,143862,2470.683,14414,3394,58.288,102,1.752,9
Cuba,Americas,979929,8651.56,12431,109.75,2519,8329,73.535,5,0.044,1
Australia,Western Pacific,973470,3817.547,473633,1857.393,49477,2389,9.369,123,0.482,22
Georgia,Europe,968313,24273.515,26140,655.273,5486,14264,357.568,255,6.392,46
Slovakia,Europe,866412,15874.536,16896,309.571,2595,17039,312.191,251,4.599,50
Nepal,South-East Asia,835927,2868.972,6295,21.605,1981,11607,39.836,6,0.021,1
United Arab Emirates,Eastern Mediterranean,788187,7969.211,18579,187.849,2562,2174,21.981,5,0.051,0
Bulgaria,Europe,787178,11323.887,35720,513.847,6761,31672,455.615,592,8.516,116
Lebanon,Eastern Mediterranean,780833,11440.031,45106,660.851,6653,9298,136.226,124,1.817,15
Croatia,Europe,767183,18904.677,45129,1112.054,1578,12918,318.321,265,6.53,40
Tunisia,Eastern Mediterranean,744967,6303.334,16165,136.776,1129,25670,217.2,82,0.694,5
Belarus,Europe,708931,7502.454,7232,76.535,640,5724,60.576,100,1.058,12
Bolivia (Plurinational State of),Americas,677166,5801.12,62225,533.067,5334,19983,171.19,250,2.142,26
Republic of Korea,Western Pacific,670483,1307.77,25258,49.265,3097,6114,11.925,333,0.65,43
Guatemala,Americas,638705,3565.084,10010,55.873,1042,16125,90.006,16,0.089,1
Azerbaijan,Europe,621563,6130.311,3611,35.614,329,8457,83.409,74,0.73,12
Sri Lanka,South-East Asia,592128,2765.241,3199,14.939,0,15134,70.676,79,0.369,0
Costa Rica,Americas,584547,11474.94,10704,210.125,0,7372,144.716,11,0.216,0
Saudi Arabia,Eastern Mediterranean,583531,1676.145,23679,68.016,4778,8895,25.55,14,0.04,2
Ecuador,Americas,564238,3198.074,11914,67.528,0,33706,191.044,23,0.13,0
Lithuania,Europe,547020,19577.752,20577,736.447,2778,7565,270.75,103,3.686,11
Myanmar,South-East Asia,532167,978.072,868,1.595,0,19293,35.459,15,0.028,0
Panama,Americas,526315,12197.994,27530,638.041,4066,7465,173.011,32,0.742,7
Slovenia,Europe,493289,23536.341,25736,1227.944,2496,6140,292.958,16,0.763,1
Paraguay,Americas,476892,6686.147,7959,111.587,1206,16673,233.76,36,0.505,3
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,473302,9277.859,2212,43.361,392,4993,97.875,46,0.902,6
Dominican Republic,Americas,462382,4262.406,37573,346.362,5155,4255,39.224,4,0.037,0
Uruguay,Americas,449422,12937.736,34173,983.755,5986,6192,178.252,17,0.489,3
Venezuela (Bolivarian Republic of),Americas,447288,1572.967,2316,8.145,447,5357,18.839,24,0.084,5
Ethiopia,Africa,446268,388.182,17472,15.198,2144,7042,6.125,73,0.063,12
Norway,Europe,444366,8278.703,45048,839.261,15634,1350,25.151,5,0.093,0
Kuwait,Eastern Mediterranean,437602,10246.92,18288,428.233,3683,2472,57.885,4,0.094,1
Mongolia,Western Pacific,395147,12053.449,4852,148.004,0,2001,61.038,12,0.366,0
Libya,Eastern Mediterranean,393983,5733.754,3699,53.833,536,5796,84.351,69,1.004,8
Egypt,Eastern Mediterranean,393808,384.825,5926,5.791,951,21995,21.493,178,0.174,31
Honduras,Americas,381254,3849.259,1116,11.267,0,10444,105.446,3,0.03,0
Republic of Moldova,Europe,380985,9444.435,4141,102.653,695,10380,257.315,74,1.834,17
Puerto Rico,Americas,362143,12658.567,59044,2063.86,6880,3373,117.902,59,2.062,0
Armenia,Europe,346224,11683.991,1098,37.054,243,8006,270.178,20,0.675,2
Finland,Europe,338615,6128.454,46005,832.626,9768,1663,30.098,12,0.217,7
Kenya,Africa,312572,581.299,12840,23.879,3442,5454,10.143,60,0.112,29
Oman,Eastern Mediterranean,308261,6036.491,2253,44.119,539,4119,80.66,2,0.039,1
Bosnia and Herzegovina,Europe,302587,9222.922,9802,298.767,942,13645,415.903,157,4.785,22
Bahrain,Eastern Mediterranean,294466,17305.496,10242,601.913,1894,1397,82.1,2,0.118,0
Latvia,Europe,288715,15134.391,11023,577.824,864,4661,244.329,67,3.512,3
Singapore,Western Pacific,286397,4895.389,5643,96.456,750,838,14.324,9,0.154,0
Zambia,Africa,284389,1546.941,23168,126.023,1485,3817,20.763,64,0.348,5
Qatar,Eastern Mediterranean,274529,9528.773,20993,728.657,3878,619,21.485,1,0.035,1
Estonia,Europe,255755,19244.516,11022,829.36,1980,1959,147.407,19,1.43,3
Nigeria,Africa,248732,120.662,4612,2.237,420,3085,1.497,40,0.019,8
North Macedonia,Europe,234277,11245.044,8306,398.679,813,8042,386.007,49,2.352,10
Botswana,Africa,232432,9883.88,12923,549.534,2577,2497,106.182,53,2.254,22
Zimbabwe,Africa,223000,1500.378,6913,46.512,709,5180,34.852,133,0.895,20
Algeria,Africa,222639,507.717,3107,7.085,482,6349,14.479,51,0.116,10
Albania,Europe,220487,7661.651,9267,322.017,793,3241,112.621,19,0.66,1
